,connectionTime,disconnectTime,siteID,spaceID,userID,userInputs/0/WhPerMile,userInputs/0/kWhRequested,userInputs/0/milesRequested,userInputs/0/minutesAvailable,userInputs/0/modifiedAt,userInputs/0/paymentRequired,userInputs/0/requestedDeparture
1000,7.326111111111111,23.318055555555556,1,442,361.0,250.0,30.0,120.0,467.0,7.3325,1.0,15.109444444444444
1001,7.349444444444444,1.253611111111111,1,447,554.0,400.0,16.0,40.0,393.0,7.35861111111111,1.0,13.899444444444445
1002,7.378333333333333,1.0911111111111111,1,446,724.0,400.0,20.0,50.0,620.0,7.383611111111112,1.0,17.711666666666666
1003,7.391111111111112,23.702777777777776,1,439,1277.0,400.0,24.0,60.0,461.0,7.3933333333333335,1.0,15.074444444444444
1004,7.410555555555556,19.291944444444447,1,450,351.0,400.0,36.0,90.0,684.0,7.415555555555556,1.0,18.810555555555556
1005,7.461388888888889,19.940833333333334,1,436,572.0,400.0,12.0,30.0,195.0,10.657777777777778,1.0,10.711388888888887
1006,7.466111111111111,19.533333333333335,1,451,943.0,400.0,16.0,40.0,240.0,7.469444444444445,1.0,11.466111111111111
1007,7.466388888888889,1.2786111111111111,1,440,537.0,250.0,20.0,80.0,427.0,7.471666666666667,1.0,14.583055555555555
1008,7.483055555555556,0.9763888888888889,1,319,474.0,400.0,40.0,100.0,552.0,7.483055555555556,1.0,16.68305555555556
1009,7.528611111111111,23.579722222222223,1,438,500.0,400.0,95.2,238.0,657.0,7.552777777777778,1.0,18.47861111111111
1010,7.5713888888888885,1.3425,1,441,3670.0,400.0,32.0,80.0,395.0,7.5713888888888885,1.0,14.154722222222222
1011,10.325555555555555,0.34833333333333333,1,445,2299.0,400.0,20.0,50.0,254.0,10.325277777777778,1.0,14.55888888888889
1012,11.578333333333333,2.198611111111111,1,331,2103.0,250.0,52.5,210.0,387.0,11.590277777777779,1.0,18.028333333333332
1013,11.881388888888889,0.36277777777777775,1,333,387.0,600.0,126.0,210.0,250.0,11.886666666666667,1.0,16.048055555555557
1014,11.93888888888889,3.8872222222222224,1,450,448.0,400.0,40.0,100.0,138.0,11.9475,1.0,14.238888888888889
1015,11.952499999999999,22.988055555555558,1,451,3201.0,333.0,19.98,60.0,190.0,11.952499999999999,1.0,15.119166666666667
1016,12.043611111111112,2.7233333333333336,1,436,1626.0,400.0,48.0,120.0,324.0,12.055277777777778,1.0,17.44361111111111
1017,12.398333333333333,2.783333333333333,1,330,1971.0,400.0,20.0,50.0,246.0,12.398333333333333,1.0,16.498333333333335
1018,12.585,2.812222222222222,1,102,376.0,400.0,8.0,20.0,372.0,12.58888888888889,1.0,18.785
1019,13.65638888888889,0.405,1,113,346.0,400.0,16.0,40.0,176.0,13.662222222222223,1.0,16.58972222222222
1020,13.800277777777778,2.6975000000000002,1,108,438.0,400.0,40.0,100.0,388.0,13.806111111111111,1.0,20.266944444444444
1021,14.140833333333333,0.6661111111111111,1,332,420.0,267.0,32.04,120.0,203.0,14.145555555555555,1.0,17.524166666666666
1022,14.525,0.20555555555555557,1,107,608.0,333.0,23.31,70.0,241.0,14.535,1.0,18.541666666666668
1023,15.02638888888889,1.3358333333333332,1,451,4266.0,300.0,15.0,50.0,151.0,15.043611111111112,1.0,17.543055555555558
1024,15.120277777777778,2.6438888888888887,1,104,2276.0,400.0,24.0,60.0,163.0,15.120000000000001,1.0,17.836944444444445
1025,15.20111111111111,4.7575,1,105,394.0,250.0,35.0,140.0,324.0,15.204166666666666,1.0,20.601111111111113
1026,15.342777777777778,5.65,1,103,1191.0,250.0,20.0,80.0,191.0,15.368333333333334,1.0,18.52611111111111
1027,16.03527777777778,4.619722222222222,1,324,436.0,350.0,70.0,200.0,239.0,16.071944444444444,1.0,20.01861111111111
1028,16.320833333333333,1.825,1,101,362.0,400.0,40.0,100.0,101.0,16.323888888888888,1.0,18.004166666666666
1029,16.396666666666665,2.890277777777778,1,333,1485.0,400.0,16.0,40.0,374.0,16.396666666666665,1.0,22.63
1030,16.675555555555558,4.083055555555555,1,112,741.0,400.0,8.0,20.0,60.0,16.697222222222223,1.0,17.675555555555558
1031,16.875,3.4825,1,325,1805.0,350.0,10.5,30.0,130.0,16.876944444444444,1.0,19.041666666666668
